> D1 -- "your app doesn't notice": Cassandra client read p99 under a steady rate-limited OLTP load
> while the SAME full-table analytic runs first through the `cassandra` catalog, then `cqlite`.
> Issue #4137. Same pins as d2-scan-warm.csv (image talk017 @ sha256:847c93ba...c82980,
> trunk f22ce842b, connector 0.16.1, Trino 481, Cassandra 5.0.9, read-mode=snapshot,
> 3x i4i.2xlarge db + 2x m6i.2xlarge app).
>
> OLTP load: KeyValue -n 1500000 -p 20000000 -r 0.8 --threads 32 --rate 8000
>   RATE-LIMITED on purpose: this is a fixed-load latency comparison, NOT a saturation test.
>   Throughput held at ~6,400 reads/s in EVERY phase (see read_reqs_per_s below), which is what
>   makes the p99 movement attributable to the analytic rather than to a change in offered load.
> Analytic (looped back-to-back for the whole window): SELECT sum(length(value)) FROM <cat>.<ks>.keyvalue
>   NOT count(*) -- that never completes on the cqlite catalog (issue #4170, d2-count-star-stall.md).
> table: cassandra_easy_stress.keyvalue, 22,339,536 rows MEASURED, 3 SSTables/node, LZ4, RF 3.
>
> Timeline COMPRESSED from #4137's 10/5/10/5 min to 8/4/8/4 to fit the run budget -- disclosed here
> and in REPORT.md. Sampled every 10s from the stress client's own reported p99.
>
> HEADLINE: the same analytic costs 5.61x baseline p99 through Cassandra's CQL path and
>           2.21x through CQLite -- CQLite imposes ~2.5x LESS p99 impact.
> BOTH quiet phases return to baseline (1.00x, 1.01x), so window_Q inherited no damage from
> window_C and the cluster fully recovered between windows.
> CAVEAT THAT MUST RIDE WITH THE CHART: CQLite's impact is NOT zero (2.21x). The Flight pod shares
> the db node's cores and the DaemonSet has NO resources.limits. The defensible claim is
> "~2.5x less impact", never "no impact".
> FURTHER CAVEAT: only ONE Flight pod (db0, where cqlite.sidecar-uri points) did the work; db1/db2
> idled. So this is a single-pod result on both the latency and throughput axes.
>
> GC-pause panel: NOT COLLECTED. #4137 asks for a second panel of Cassandra GC pause time. The
> metrics agent changed upstream this same day (MCAC -> OpenTelemetry Java agent, #916), so the
> series names in the round-5 plan no longer apply and no substitute was verified. Reported as
> missing rather than approximated.
>
> phase_medians (median of n 10s samples):
> phase,n,read_p99_ms,read_reqs_per_s,ratio_to_baseline
> baseline,45,0.80,6376,1.00
> window_C,46,4.48,6401,5.61
> quiet_1,23,0.80,6401,1.00
> window_Q,46,1.77,6399,2.21
> quiet_2,23,0.81,6403,1.01
>
> analytic_elapsed (from Trino /v1/query/<id>, medians):
> catalog,n,median_elapsed_ms
> cassandra,25,18450
> cqlite,33,13370
>
> raw 10s series follows: timestamp_utc, phase, then the stress client's own counters
> (write_count, write_p99_ms, write_reqs_per_s, read_count, read_p99_ms, read_reqs_per_s, ...)
timestamp_utc,phase,raw_counters
2026-09-08T02:21:36Z,baseline,2026-09-08,02:21:33.364,[INFO],Profiling,started
2026-09-08T02:21:46Z,baseline,,8126,65.75,1307,|,32776,63.33,5245,|,0,0,0,|,0,0
2026-09-08T02:21:56Z,baseline,,27166,0.83,1348.63,|,109737,0.83,5425.61,|,0,0,0,|,0,0
2026-09-08T02:22:07Z,baseline,,41603,0.82,1387.92,|,167298,0.81,5574.49,|,0,0,0,|,0,0
2026-09-08T02:22:17Z,baseline,,60866,0.82,1422.37,|,244036,0.81,5699.34,|,0,0,0,|,0,0
2026-09-08T02:22:27Z,baseline,,75179,0.81,1447.65,|,301724,0.81,5808.9,|,0,0,0,|,0,0
2026-09-08T02:22:38Z,baseline,,94436,0.81,1482.16,|,378467,0.81,5938.84,|,0,0,0,|,0,0
2026-09-08T02:22:48Z,baseline,,108871,0.82,1493.25,|,436033,0.82,5974.03,|,0,0,0,|,0,0
2026-09-08T02:22:59Z,baseline,,123236,0.82,1507.7,|,493666,0.81,6041.38,|,0,0,0,|,0,0
2026-09-08T02:23:09Z,baseline,,142528,0.81,1529.97,|,570375,0.8,6118.84,|,0,0,0,|,0,0
2026-09-08T02:23:19Z,baseline,,156999,0.82,1536.42,|,627907,0.81,6140.47,|,0,0,0,|,0,0
2026-09-08T02:23:31Z,baseline,,176322,0.82,1552.88,|,704580,0.81,6195.53,|,0,0,0,|,0,0
2026-09-08T02:23:41Z,baseline,,195396,0.81,1559.27,|,781511,0.8,6227.73,|,0,0,0,|,0,0
2026-09-08T02:23:52Z,baseline,,209808,0.82,1564.78,|,839094,0.82,6254.93,|,0,0,0,|,0,0
2026-09-08T02:24:02Z,baseline,,229089,0.81,1571.35,|,915813,0.8,6276.03,|,0,0,0,|,0,0
2026-09-08T02:24:13Z,baseline,,243723,0.81,1578.65,|,973184,0.8,6292.14,|,0,0,0,|,0,0
2026-09-08T02:24:23Z,baseline,,262944,0.8,1584.19,|,1049955,0.79,6315.19,|,0,0,0,|,0,0
2026-09-08T02:24:33Z,baseline,,277441,0.82,1586.29,|,1107461,0.8,6321.17,|,0,0,0,|,0,0
2026-09-08T02:24:44Z,baseline,,296746,0.81,1591.71,|,1184161,0.79,6336.2,|,0,0,0,|,0,0
2026-09-08T02:24:54Z,baseline,,311163,0.81,1592.98,|,1241739,0.8,6345.99,|,0,0,0,|,0,0
2026-09-08T02:25:05Z,baseline,,325481,0.82,1594.21,|,1299421,0.8,6349.65,|,0,0,0,|,0,0
2026-09-08T02:25:15Z,baseline,,344550,0.8,1592.45,|,1376351,0.8,6363.81,|,0,0,0,|,0,0
2026-09-08T02:25:26Z,baseline,,358995,0.81,1593.87,|,1433908,0.8,6369.12,|,0,0,0,|,0,0
2026-09-08T02:25:36Z,baseline,,378102,0.81,1592.84,|,1510801,0.8,6375.82,|,0,0,0,|,0,0
